126794236516480 -
136679711954688 lock
136679711954640 log_prior
136679711954592 send
136679711961552 recv
126794238328368 log_likelihood
126794255490784 send
126794235084624 process_conf
126794235084384 preprocess_data
126794235138352 log_likelihood2
< 126794255490784 2911992 126800800096384 1780985086.3763072
< 136679711961552 2912060 136686256525440 1780985086.3857443
> 136679711954688 2912060 136686256525440 1780985086.3858
< 136679711954688 2912060 136686256525440 1780985086.3858178
> 136679711954640 2912060 136686256525440 1780985086.3859556
< 136679711954640 2912060 136686256525440 1780985086.3866103
> 136679711954592 2912060 136686256525440 1780985086.3866556
> 126794236516480 2911992 126800800096384 1780985086.4576411
< 126794236516480 2911992 126800800096384 1780985086.457735
< 136679711954592 2912060 136686256525440 1780985086.4697843
> 136679711961552 2912060 136686256525440 1780985086.469814
> 126794236516480 2911992 126800800096384 1780985086.5376081
< 126794236516480 2911992 126800800096384 1780985086.5376818
> 126794238328368 2911992 126800800096384 1780985086.53787
> 126794235084624 2911992 126800800096384 1780985086.5378802
< 126794235084624 2911992 126800800096384 1780985086.5410979
> 126794235084384 2911992 126800800096384 1780985086.5411239
< 126794235084384 2911992 126800800096384 1780985086.5414796
> 126794235138352 2911992 126800800096384 1780985086.5414958
< 126794235138352 2911992 126800800096384 1780985086.6522114
< 126794238328368 2911992 126800800096384 1780985086.6522768
> 126794255490784 2911992 126800800096384 1780985086.6523015
< 126794255490784 2911992 126800800096384 1780985086.73215
< 136679711961552 2912060 136686256525440 1780985086.7333481
> 136679711954688 2912060 136686256525440 1780985086.7333996
< 136679711954688 2912060 136686256525440 1780985086.7334166
> 136679711954640 2912060 136686256525440 1780985086.7335618
< 136679711954640 2912060 136686256525440 1780985086.7340224
> 136679711954592 2912060 136686256525440 1780985086.7340364
> 126794236516480 2911992 126800800096384 1780985086.8129556
< 126794236516480 2911992 126800800096384 1780985086.8130286
< 136679711954592 2912060 136686256525440 1780985086.817634
> 136679711961552 2912060 136686256525440 1780985086.8176637
> 126794236516480 2911992 126800800096384 1780985086.893517
< 126794236516480 2911992 126800800096384 1780985086.8935878
> 126794238328368 2911992 126800800096384 1780985086.893763
> 126794235084624 2911992 126800800096384 1780985086.8937774
< 126794235084624 2911992 126800800096384 1780985086.8968902
> 126794235084384 2911992 126800800096384 1780985086.8969095
< 126794235084384 2911992 126800800096384 1780985086.8972552
> 126794235138352 2911992 126800800096384 1780985086.89727
< 126794235138352 2911992 126800800096384 1780985087.0094981
< 126794238328368 2911992 126800800096384 1780985087.0095732
> 126794255490784 2911992 126800800096384 1780985087.0095997
< 126794255490784 2911992 126800800096384 1780985087.092396
< 136679711961552 2912060 136686256525440 1780985087.1007524
> 136679711954688 2912060 136686256525440 1780985087.1007936
< 136679711954688 2912060 136686256525440 1780985087.1008031
> 136679711954640 2912060 136686256525440 1780985087.1008627
< 136679711954640 2912060 136686256525440 1780985087.101261
> 136679711954592 2912060 136686256525440 1780985087.1012743
> 126794236516480 2911992 126800800096384 1780985087.1736965
< 126794236516480 2911992 126800800096384 1780985087.1737845
< 136679711954592 2912060 136686256525440 1780985087.1814363
> 136679711961552 2912060 136686256525440 1780985087.1814559
> 126794236516480 2911992 126800800096384 1780985087.2544205
< 126794236516480 2911992 126800800096384 1780985087.254528
> 126794238328368 2911992 126800800096384 1780985087.254814
> 126794235084624 2911992 126800800096384 1780985087.2548301
< 126794235084624 2911992 126800800096384 1780985087.260532
> 126794235084384 2911992 126800800096384 1780985087.2605782
< 126794235084384 2911992 126800800096384 1780985087.2610738
> 126794235138352 2911992 126800800096384 1780985087.2610943
< 126794235138352 2911992 126800800096384 1780985087.3923929
< 126794238328368 2911992 126800800096384 1780985087.3924713
> 126794255490784 2911992 126800800096384 1780985087.3924952
< 126794255490784 2911992 126800800096384 1780985087.4709363
< 136679711961552 2912060 136686256525440 1780985087.4744527
> 136679711954688 2912060 136686256525440 1780985087.4744835
< 136679711954688 2912060 136686256525440 1780985087.4744928
> 136679711954640 2912060 136686256525440 1780985087.4745483
< 136679711954640 2912060 136686256525440 1780985087.474845
> 136679711954592 2912060 136686256525440 1780985087.4748535
> 126794236516480 2911992 126800800096384 1780985087.5540316
< 126794236516480 2911992 126800800096384 1780985087.5542617
< 136679711954592 2912060 136686256525440 1780985087.5570076
> 136679711961552 2912060 136686256525440 1780985087.5570364
> 126794236516480 2911992 126800800096384 1780985087.6337001
< 126794236516480 2911992 126800800096384 1780985087.6338084
> 126794238328368 2911992 126800800096384 1780985087.634042
> 126794235084624 2911992 126800800096384 1780985087.6340587
< 126794235084624 2911992 126800800096384 1780985087.6400676
> 126794235084384 2911992 126800800096384 1780985087.6401145
< 126794235084384 2911992 126800800096384 1780985087.6406202
> 126794235138352 2911992 126800800096384 1780985087.6406462
< 126794235138352 2911992 126800800096384 1780985087.756727
< 126794238328368 2911992 126800800096384 1780985087.7567723
> 126794255490784 2911992 126800800096384 1780985087.7567883
< 126794255490784 2911992 126800800096384 1780985087.8352926
< 136679711961552 2912060 136686256525440 1780985087.839492
> 136679711954688 2912060 136686256525440 1780985087.8395216
< 136679711954688 2912060 136686256525440 1780985087.8395305
